Solvent,Enzyme,Temperature,aN,bN,aD,bD,m,D50
EtOH,YqiG,35,0.7399158633106335,0.0,0.08350116860888253,0.002631706297082396,1075.0299770217355,21.299189812424075
EtOH,YqiG,40,0.7575167921731354,0.0,0.1974058113321995,0.0,1397.6450802995107,15.4830222367834
EtOH,YqiG,45,0.772485875832993,0.0,0.21592461795263396,0.0,1827.0085703008579,8.156990137048219
EtOH,YqiG,50,1.0034509686053579,0.0,0.0,0.0,1494.6473488091162,18.459565063036614
EtOH,YqiG,60,1.0281574292101565,0.0,0.0,0.0,1494.9002315844157,18.604823145133786
EtOH,YqiG,70,1.0328687230354097,0.0,0.0,0.0,1494.1682060001806,18.530733230927474
EtOH,YqiG,80,1.0313562481709242,0.0,0.0,0.0,1494.0753701564984,18.559511280629017
EtOH,YqjM,25,1.020355418993689,0.0,0.0,0.0,1494.2422650731935,18.648066002839375
EtOH,YqjM,30,1.0312958732548008,0.0,0.0,0.0,1493.6087819815068,18.67274294743474
EtOH,YqjM,35,1.0272520550909368,0.0,0.0,0.0,1493.4094709941949,18.823322048907514
EtOH,YqjM,40,1.014134528672309,0.0,0.0,0.0,1495.6983269005268,18.938579060933964
EtOH,YqjM,45,1.0056761565952348,0.0,0.0,0.0,1495.2700402249748,18.90434485352321
EtOH,YqjM,50,0.9824707156827147,0.0,0.0,0.0,1493.5845934777449,18.79261569659
EtOH,YqjM,60,0.9721274320372633,0.0016002513449244074,0.0,0.0,1491.9270705209176,18.667500149901095
EtOH,YqjM,70,0.9884710454755432,0.0032066098522205767,0.0,0.0,1491.4186907551689,18.262619628881833
EtOH,YqjM,80,1.026967643143582,0.0027641106976559883,0.0,0.0,1491.1204379360036,18.32822048496312
MeOH,ChrOYE1,25,0.6018669208733727,0.0006655667871098201,0.2705333330975702,0.0,1440.2238040086002,27.598789635040788
MeOH,ChrOYE1,30,0.6126137238437015,0.0017312425565046059,0.23448627183357523,0.0,1365.5650832327533,27.327823499056905
MeOH,ChrOYE1,35,0.650647477910988,0.002190790774238461,0.1822892739033402,0.0001547777590400691,1412.5334481868408,22.286437711146142
MeOH,ChrOYE1,40,0.6842873551162201,0.0006350144837538495,0.2274150919979316,0.0,893.5483735765963,13.77771116117723
MeOH,ChrOYE1,45,0.7237155382279041,0.0010040486343812361,0.1862590106559422,1.2668624933561386e-05,1166.0399739295067,6.149372649292369
MeOH,ChrOYE1,50,0.8909158017677458,0.00194483604110614,0.0,0.0,1493.8038113203459,18.579609916552176
MeOH,ChrOYE1,60,0.9282488779814696,0.0008912199473090084,0.01679178453150764,0.0,1403.1668986315876,14.69794992422967
MeOH,ChrOYE1,70,0.9300625365040935,0.0,0.07332204594056128,0.0,383.27199260448486,14.061845149807048
MeOH,ChrOYE1,80,0.9486129668243983,0.0,0.08565562274665145,0.0,539.1616943914365,12.668729643869977
MeOH,DrER,25,0.6900889538094046,0.0,0.10241345527967559,0.0031521074640697075,2503.2114180325934,24.344285148126872
MeOH,DrER,30,0.6943521411770511,0.00042462431564900164,0.17476465636841718,0.0012365402119309137,1867.5526010705958,23.38073885202416
MeOH,DrER,35,0.7041569770535832,0.0,0.22265163076826294,0.0006660639557431527,901.0429207548052,18.432032836678278
MeOH,DrER,40,0.7061190697417609,0.0,0.26438148308000414,0.0,621.5178890764935,12.088639014647493
MeOH,DrER,45,0.6699596151167829,0.0,0.3179025592571423,0.0,448.6085659626397,3.60696746914155
MeOH,DrER,50,0.8066154195439035,0.0,0.19232051637978673,0.0,528.6348044622048,3.465333566836041
MeOH,DrER,60,0.9739388186534352,0.0,0.04886457205393707,0.0,578.5294575584059,13.089699050603242
MeOH,DrER,70,0.9932989235353079,0.0,0.051995765656560666,0.0,765.2595420991602,13.677291154777564
MeOH,DrER,80,1.0093019309579194,0.0,0.05632121700004771,0.0,1032.4135705863905,12.026341130445147
MeOH,LacER,25,0.8142166796265711,0.0,0.027388748723504677,0.0,12537.27816480029,27.48540407253726
MeOH,LacER,30,0.8233837877546407,0.0,0.0294862981023887,0.0,1598.1856277751933,25.794070855979246
MeOH,LacER,35,0.8363628081541071,7.763636317774344e-06,0.02255898194931104,8.206551507224925e-05,1498.0230273633024,18.986578249192053
MeOH,LacER,40,0.8512594573435344,0.0,0.028945921704258512,0.0,1529.3179957651882,20.225515960856434
MeOH,LacER,45,0.8681304802537544,0.0,0.029506786546553667,0.0,8191.315052175022,17.733632802779486
MeOH,LacER,50,0.8889232903528616,0.0,0.02358282583995738,0.0,7968.886590379136,17.432064172840455
MeOH,LacER,60,0.9174583771128111,9.675194137028168e-05,0.02395493396614827,0.0,1497.5949164631074,18.808891690948673
MeOH,LacER,70,0.9464136323604513,0.0,0.03781996237289634,0.0,10912.61605710845,17.874122782917876
MeOH,LacER,80,0.9908909784945821,0.0,0.047987940503595346,0.0,13016.589890323794,17.721069683707235
